component	repository	branch	source_head	relocation_sha	merge_sha	sample_sha	follow_sha	blame_sha	representative_file
control-plane	https://github.com/nunocgoncalves/control-plane.git	master	c63eea9d21c367a3e5fd91431bedc853fb15a16b	cbed62e1596aeee913e00afe4b46a5b3d4ead874	1997552a87cb8a1feeff472bbb3c4d4744aedfae	c63eea9d21c367a3e5fd91431bedc853fb15a16b	e3a87548d8813b835a0a00fce7ceb0c5674f43ab	160d25d0a2a8c1a81d65444891afe867f2d10337	README.md
inference-gateway	https://github.com/nunocgoncalves/inference-gateway.git	master	cf093df2cdca30e916cb340d3e5dc1ab29c49989	47acdd90cff468bc921456b87f95032c57c87f89	57eeee901d57f5188cd4b6836d3339c51688530d	984700bcd62dd81dfb895690f438555cfb2c5fb7	d315d36d7303e9578f0acff18b689c6c8219bc3f	9a5df576ec06f029349ac5555545bd042560344b	README.md
forge	https://github.com/nunocgoncalves/forge.git	master	56afae7b21f97a1c40c81705954756ef16f46674	bcf52a3bb088eb1ae06e78951e4721970ee32269	627c2e02baacd384b5bb870d369b3222b6e0a639	56afae7b21f97a1c40c81705954756ef16f46674	4692f83846383bee9d5e56fab1f90101aa329b4e	7f408695028f5e42f8af5eced8a2fdb1cbbffd3e	README.md
charts	https://github.com/nunocgoncalves/iterabase-charts.git	master	0d97d50962afcd03aa474f096a8948f0e1dcd8b5	f609428b137a486c04da4bdca45159f43abc3f3b	7579abd5434f0cebba07cdb6da99037015c74cec	0d97d50962afcd03aa474f096a8948f0e1dcd8b5	276f4194c6b3a56f0a7d0398682355b8868fa414	6587609c583b29446ecee7bac2e435457064b610	README.md
